SetNumber,URL,Description,DateAdded,DateModified
"10039-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4195636.pdf","BUILDING INSTRUCTION  10039","01/01/2010 00:00:00","16/12/2002 00:00:00"
"10040-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4197389.pdf","BUILDING INSTRUCTION  10040","01/01/2010 00:00:00","17/12/2002 00:00:00"
"10041-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4204751.pdf","BUILDINGINSTRUCTION  10041","01/01/2010 00:00:00","13/05/2003 00:00:00"
"10068-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4280194.pdf","BUILDING INSTRUCTION, 10068","01/01/2010 00:00:00","10/11/2005 00:00:00"
"10071-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4209537.pdf","BUILDING INSTRUCTION 10071","01/01/2010 00:00:00","14/12/2003 00:00:00"
"10075-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4192059.pdf","BUILDING INSTRUCTION 10075","01/01/2010 00:00:00","08/06/2002 00:00:00"
"10079-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4226794.pdf","BUILDING INSTRUCTION 10079","01/01/2010 00:00:00","25/08/2003 00:00:00"
"10080-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4226795.pdf","BUILDING INSTRUCTION 10080","01/01/2010 00:00:00","25/08/2003 00:00:00"
"10090-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4226515.pdf","BUILDING INSTRUCTION  10090","01/01/2010 00:00:00","25/08/2003 00:00:00"
"10123-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4280195.pdf","BUILDING INSTRUCTION, 10123","01/01/2010 00:00:00","15/03/2005 00:00:00"
"10124-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4222843.pdf","BUILDING INSTRUCTION 10124","01/01/2010 00:00:00","03/06/2003 00:00:00"
"10127-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4217500.pdf","BUILDING INSTRUCTION 10127","01/01/2010 00:00:00","14/12/2003 00:00:00"
"10128-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4227008.pdf","BUILDING INSTRUCTION 10128","01/01/2010 00:00:00","11/08/2003 00:00:00"
"10129-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4227237.pdf","BUILDING INSTRUCTION, 10129","01/01/2010 00:00:00","19/08/2003 00:00:00"
"10131-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4261683.pdf","BUILDING INSTRUCTION, 10131","01/01/2010 00:00:00","01/06/2004 00:00:00"
"10132-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4280197.pdf","BUILDING INSTRUCTION, 10132 IN","01/01/2010 00:00:00","02/05/2005 00:00:00"
"10132-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4281225.pdf","BUILDING INSTRUCTION, 10132 NA","01/01/2010 00:00:00","02/05/2005 00:00:00"
"10133-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4268702.pdf","BUILDING INSTRUCTION, 10133","01/01/2010 00:00:00","17/09/2004 00:00:00"
"10134-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4261228.pdf","BUILDIGN INSTRUCTION, 10134","01/01/2010 00:00:00","09/07/2004 00:00:00"
"10143-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4289405.pdf","BUILDING INSTRUCTION, 10143","01/01/2010 00:00:00","19/05/2005 00:00:00"
"10144-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4284931.pdf","BUILDING INSTRUCTION, 10144","01/01/2010 00:00:00","27/04/2005 00:00:00"
"10151-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4252684.pdf","BUILDING INSTRUCTION, 10151","01/01/2010 00:00:00","10/05/2004 00:00:00"
"10153-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4187472.pdf","BUILDING INSTRUCTION  10153","01/01/2010 00:00:00","17/08/2002 00:00:00"
